date,currency,usd_rate
2025-10-17,USD,1.0
2025-10-20,USD,1.0
2025-10-21,USD,1.0
2025-10-22,USD,1.0
2025-10-23,USD,1.0
2025-10-24,USD,1.0
2025-10-27,USD,1.0
2025-10-28,USD,1.0
2025-10-29,USD,1.0
2025-10-30,USD,1.0
2025-10-31,USD,1.0
2025-11-03,USD,1.0
2025-11-04,USD,1.0
2025-11-05,USD,1.0
2025-11-06,USD,1.0
2025-11-07,USD,1.0
2025-11-10,USD,1.0
2025-11-11,USD,1.0
2025-11-12,USD,1.0
2025-11-13,USD,1.0
2025-11-14,USD,1.0
2025-11-17,USD,1.0
2025-11-18,USD,1.0
2025-11-19,USD,1.0
2025-11-20,USD,1.0
2025-11-21,USD,1.0
2025-11-24,USD,1.0
2025-11-25,USD,1.0
2025-11-26,USD,1.0
2025-11-27,USD,1.0
2025-11-28,USD,1.0
2025-12-01,USD,1.0
2025-12-02,USD,1.0
2025-12-03,USD,1.0
2025-12-04,USD,1.0
2025-12-05,USD,1.0
2025-12-08,USD,1.0
2025-12-09,USD,1.0
2025-12-10,USD,1.0
2025-12-11,USD,1.0
2025-12-12,USD,1.0
2025-12-15,USD,1.0
2025-12-16,USD,1.0
2025-12-17,USD,1.0
2025-12-18,USD,1.0
2025-12-19,USD,1.0
2025-01-01,EUR,1.039452
2025-01-02,EUR,1.037339
2025-01-03,EUR,1.038357
2025-01-06,EUR,1.035106
2025-01-07,EUR,1.031944
2025-01-08,EUR,1.031382
2025-01-09,EUR,1.035991
2025-01-10,EUR,1.042368
2025-01-13,EUR,1.036246
2025-01-14,EUR,1.038915
2025-01-15,EUR,1.039817
2025-01-16,EUR,1.045329
2025-01-17,EUR,1.05171
2025-01-20,EUR,1.058249
2025-01-21,EUR,1.056632
2025-01-22,EUR,1.058048
2025-01-23,EUR,1.058909
2025-01-24,EUR,1.056929
2025-01-27,EUR,1.05616
2025-01-28,EUR,1.057659
2025-01-29,EUR,1.057658
2025-01-30,EUR,1.056964
2025-01-31,EUR,1.058699
2025-02-03,EUR,1.059084
2025-02-04,EUR,1.058279
2025-02-05,EUR,1.057954
2025-02-06,EUR,1.060672
2025-02-07,EUR,1.060017
2025-02-10,EUR,1.059987
2025-02-11,EUR,1.05775
2025-02-12,EUR,1.052983
2025-02-13,EUR,1.054853
2025-02-14,EUR,1.054811
2025-02-17,EUR,1.056538
2025-02-18,EUR,1.052709
2025-02-19,EUR,1.047791
2025-02-20,EUR,1.054138
2025-02-21,EUR,1.058687
2025-02-24,EUR,1.061037
2025-02-25,EUR,1.058127
2025-02-26,EUR,1.05799
2025-02-27,EUR,1.059703
2025-02-28,EUR,1.065858
2025-03-03,EUR,1.065059
2025-03-04,EUR,1.064619
2025-03-05,EUR,1.059912
2025-03-06,EUR,1.053711
2025-03-07,EUR,1.055757
2025-03-10,EUR,1.059227
2025-03-11,EUR,1.058674
2025-03-12,EUR,1.062891
2025-03-13,EUR,1.06682
2025-03-14,EUR,1.064503
2025-03-17,EUR,1.064217
2025-03-18,EUR,1.063749
2025-03-19,EUR,1.067049
2025-03-20,EUR,1.067517
2025-03-21,EUR,1.068602
2025-03-24,EUR,1.071937
2025-03-25,EUR,1.073464
2025-03-26,EUR,1.070101
2025-03-27,EUR,1.065799
2025-03-28,EUR,1.065804
2025-03-31,EUR,1.068396
2025-04-01,EUR,1.066105
2025-04-02,EUR,1.071278
2025-04-03,EUR,1.070262
2025-04-04,EUR,1.068632
2025-04-07,EUR,1.068921
2025-04-08,EUR,1.06877
2025-04-09,EUR,1.065955
2025-04-10,EUR,1.067345
2025-04-11,EUR,1.070978
2025-04-14,EUR,1.077222
2025-04-15,EUR,1.0778
2025-04-16,EUR,1.076797
2025-04-17,EUR,1.080277
2025-04-18,EUR,1.084617
2025-04-21,EUR,1.083454
2025-04-22,EUR,1.08575
2025-04-23,EUR,1.087481
2025-04-24,EUR,1.089572
2025-04-25,EUR,1.090882
2025-04-28,EUR,1.088071
2025-04-29,EUR,1.091338
2025-04-30,EUR,1.093538
2025-05-01,EUR,1.094734
2025-05-02,EUR,1.098466
2025-05-05,EUR,1.100368
2025-05-06,EUR,1.102247
2025-05-07,EUR,1.096783
2025-05-08,EUR,1.097723
2025-05-09,EUR,1.097579
2025-05-12,EUR,1.097252
2025-05-13,EUR,1.090448
2025-05-14,EUR,1.093607
2025-05-15,EUR,1.092441
2025-05-16,EUR,1.097968
2025-05-19,EUR,1.101987
2025-05-20,EUR,1.101183
2025-05-21,EUR,1.103496
2025-05-22,EUR,1.102714
2025-05-23,EUR,1.101221
2025-05-26,EUR,1.105858
2025-05-27,EUR,1.11062
2025-05-28,EUR,1.113862
2025-05-29,EUR,1.110874
2025-05-30,EUR,1.108004
2025-06-02,EUR,1.107779
2025-06-03,EUR,1.107351
2025-06-04,EUR,1.110892
2025-06-05,EUR,1.116333
2025-06-06,EUR,1.118806
2025-06-09,EUR,1.118367
2025-06-10,EUR,1.11973
2025-06-11,EUR,1.117874
2025-06-12,EUR,1.117063
2025-06-13,EUR,1.114295
2025-06-16,EUR,1.115325
2025-06-17,EUR,1.114456
2025-06-18,EUR,1.115289
2025-06-19,EUR,1.110826
2025-06-20,EUR,1.111048
2025-06-23,EUR,1.109642
2025-06-24,EUR,1.109573
2025-06-25,EUR,1.11261
2025-06-26,EUR,1.111999
2025-06-27,EUR,1.109146
2025-06-30,EUR,1.107813
2025-07-01,EUR,1.106164
2025-07-02,EUR,1.104181
2025-07-03,EUR,1.10431
2025-07-04,EUR,1.101631
2025-07-07,EUR,1.098077
2025-07-08,EUR,1.098235
2025-07-09,EUR,1.097821
2025-07-10,EUR,1.102786
2025-07-11,EUR,1.103805
2025-07-14,EUR,1.107519
2025-07-15,EUR,1.103561
2025-07-16,EUR,1.099946
2025-07-17,EUR,1.106427
2025-07-18,EUR,1.109012
2025-07-21,EUR,1.10958
2025-07-22,EUR,1.113356
2025-07-23,EUR,1.10959
2025-07-24,EUR,1.109441
2025-07-25,EUR,1.114058
2025-07-28,EUR,1.114308
2025-07-29,EUR,1.116184
2025-07-30,EUR,1.116924
2025-07-31,EUR,1.115343
2025-08-01,EUR,1.114713
2025-08-04,EUR,1.113566
2025-08-05,EUR,1.115917
2025-08-06,EUR,1.123373
2025-08-07,EUR,1.123071
2025-08-08,EUR,1.122653
2025-08-11,EUR,1.120848
2025-08-12,EUR,1.11915
2025-08-13,EUR,1.115377
2025-08-14,EUR,1.117634
2025-08-15,EUR,1.115585
2025-08-18,EUR,1.11264
2025-08-19,EUR,1.110643
2025-08-20,EUR,1.112309
2025-08-21,EUR,1.10896
2025-08-22,EUR,1.110169
2025-08-25,EUR,1.114976
2025-08-26,EUR,1.11551
2025-08-27,EUR,1.117514
2025-08-28,EUR,1.120811
2025-08-29,EUR,1.121149
2025-09-01,EUR,1.122419
2025-09-02,EUR,1.118716
2025-09-03,EUR,1.116283
2025-09-04,EUR,1.118176
2025-09-05,EUR,1.120072
2025-09-08,EUR,1.119438
2025-09-09,EUR,1.119471
2025-09-10,EUR,1.121911
2025-09-11,EUR,1.1233
2025-09-12,EUR,1.123917
2025-09-15,EUR,1.124285
2025-09-16,EUR,1.127109
2025-09-17,EUR,1.13208
2025-09-18,EUR,1.136199
2025-09-19,EUR,1.140418
2025-09-22,EUR,1.144096
2025-09-23,EUR,1.144865
2025-09-24,EUR,1.14352
2025-09-25,EUR,1.144213
2025-09-26,EUR,1.142922
2025-09-29,EUR,1.144852
2025-09-30,EUR,1.145511
2025-10-01,EUR,1.147349
2025-10-02,EUR,1.148315
2025-10-03,EUR,1.153456
2025-10-06,EUR,1.153439
2025-10-07,EUR,1.152706
2025-10-08,EUR,1.148978
2025-10-09,EUR,1.150735
2025-10-10,EUR,1.153016
2025-10-13,EUR,1.147044
2025-10-14,EUR,1.143159
2025-10-15,EUR,1.139931
2025-10-16,EUR,1.136353
2025-10-17,EUR,1.13394
2025-10-20,EUR,1.137206
2025-10-21,EUR,1.134066
2025-10-22,EUR,1.135068
2025-10-23,EUR,1.13429
2025-10-24,EUR,1.130011
2025-10-27,EUR,1.134534
2025-10-28,EUR,1.134442
2025-10-29,EUR,1.129202
2025-10-30,EUR,1.131062
2025-10-31,EUR,1.133384
2025-11-03,EUR,1.130837
2025-11-04,EUR,1.126722
2025-11-05,EUR,1.128492
2025-11-06,EUR,1.13372
2025-11-07,EUR,1.137248
2025-11-10,EUR,1.13849
2025-11-11,EUR,1.137927
2025-11-12,EUR,1.138535
2025-11-13,EUR,1.138528
2025-11-14,EUR,1.142061
2025-11-17,EUR,1.141325
2025-11-18,EUR,1.142637
2025-11-19,EUR,1.137462
2025-11-20,EUR,1.13615
2025-11-21,EUR,1.131887
2025-11-24,EUR,1.134297
2025-11-25,EUR,1.136053
2025-11-26,EUR,1.133786
2025-11-27,EUR,1.130907
2025-11-28,EUR,1.129884
2025-12-01,EUR,1.131373
2025-12-02,EUR,1.126542
2025-12-03,EUR,1.126876
2025-12-04,EUR,1.127975
2025-12-05,EUR,1.12636
2025-12-08,EUR,1.129491
2025-12-09,EUR,1.127783
2025-12-10,EUR,1.129704
2025-12-11,EUR,1.132405
2025-12-12,EUR,1.13393
2025-12-15,EUR,1.139155
2025-12-16,EUR,1.135903
2025-12-17,EUR,1.138099
2025-12-18,EUR,1.139219
2025-12-19,EUR,1.133192
2025-01-01,GBP,1.244213
2025-01-02,GBP,1.243338
2025-01-03,GBP,1.240804
2025-01-06,GBP,1.241848
2025-01-07,GBP,1.242443
2025-01-08,GBP,1.244183
2025-01-09,GBP,1.241313
2025-01-10,GBP,1.241231
2025-01-13,GBP,1.244332
2025-01-14,GBP,1.241439
2025-01-15,GBP,1.243792
2025-01-16,GBP,1.240092
2025-01-17,GBP,1.241992
2025-01-20,GBP,1.244456
2025-01-21,GBP,1.237493
2025-01-22,GBP,1.240917
2025-01-23,GBP,1.238877
2025-01-24,GBP,1.239009
2025-01-27,GBP,1.24502
2025-01-28,GBP,1.244415
2025-01-29,GBP,1.244205
2025-01-30,GBP,1.241054
2025-01-31,GBP,1.238632
2025-02-03,GBP,1.237633
2025-02-04,GBP,1.232145
2025-02-05,GBP,1.23312
2025-02-06,GBP,1.231226
2025-02-07,GBP,1.238934
2025-02-10,GBP,1.243108
2025-02-11,GBP,1.240025
2025-02-12,GBP,1.239724
2025-02-13,GBP,1.241287
2025-02-14,GBP,1.245613
2025-02-17,GBP,1.250244
2025-02-18,GBP,1.256621
2025-02-19,GBP,1.255357
2025-02-20,GBP,1.261412
2025-02-21,GBP,1.256783
2025-02-24,GBP,1.253651
2025-02-25,GBP,1.257502
2025-02-26,GBP,1.255853
2025-02-27,GBP,1.254757
2025-02-28,GBP,1.25512
2025-03-03,GBP,1.250998
2025-03-04,GBP,1.248556
2025-03-05,GBP,1.253712
2025-03-06,GBP,1.250125
2025-03-07,GBP,1.249634
2025-03-10,GBP,1.247498
2025-03-11,GBP,1.251428
2025-03-12,GBP,1.246843
2025-03-13,GBP,1.253245
2025-03-14,GBP,1.255552
2025-03-17,GBP,1.26183
2025-03-18,GBP,1.260031
2025-03-19,GBP,1.257365
2025-03-20,GBP,1.254922
2025-03-21,GBP,1.253416
2025-03-24,GBP,1.246216
2025-03-25,GBP,1.243464
2025-03-26,GBP,1.244161
2025-03-27,GBP,1.243477
2025-03-28,GBP,1.238296
2025-03-31,GBP,1.235962
2025-04-01,GBP,1.235014
2025-04-02,GBP,1.235753
2025-04-03,GBP,1.234117
2025-04-04,GBP,1.23531
2025-04-07,GBP,1.231611
2025-04-08,GBP,1.23562
2025-04-09,GBP,1.237175
2025-04-10,GBP,1.242531
2025-04-11,GBP,1.247524
2025-04-14,GBP,1.249423
2025-04-15,GBP,1.250351
2025-04-16,GBP,1.249638
2025-04-17,GBP,1.246738
2025-04-18,GBP,1.240826
2025-04-21,GBP,1.24403
2025-04-22,GBP,1.251378
2025-04-23,GBP,1.250207
2025-04-24,GBP,1.252447
2025-04-25,GBP,1.257026
2025-04-28,GBP,1.25413
2025-04-29,GBP,1.251676
2025-04-30,GBP,1.255773
2025-05-01,GBP,1.260774
2025-05-02,GBP,1.262042
2025-05-05,GBP,1.267541
2025-05-06,GBP,1.262628
2025-05-07,GBP,1.265366
2025-05-08,GBP,1.266483
2025-05-09,GBP,1.267994
2025-05-12,GBP,1.266387
2025-05-13,GBP,1.268516
2025-05-14,GBP,1.27016
2025-05-15,GBP,1.272251
2025-05-16,GBP,1.275263
2025-05-19,GBP,1.271779
2025-05-20,GBP,1.276748
2025-05-21,GBP,1.271713
2025-05-22,GBP,1.275108
2025-05-23,GBP,1.267502
2025-05-26,GBP,1.26999
2025-05-27,GBP,1.268485
2025-05-28,GBP,1.265491
2025-05-29,GBP,1.268867
2025-05-30,GBP,1.265294
2025-06-02,GBP,1.261737
2025-06-03,GBP,1.26529
2025-06-04,GBP,1.268796
2025-06-05,GBP,1.270198
2025-06-06,GBP,1.269334
2025-06-09,GBP,1.268427
2025-06-10,GBP,1.270894
2025-06-11,GBP,1.275506
2025-06-12,GBP,1.277359
2025-06-13,GBP,1.274415
2025-06-16,GBP,1.273665
2025-06-17,GBP,1.267821
2025-06-18,GBP,1.266119
2025-06-19,GBP,1.263306
2025-06-20,GBP,1.256571
2025-06-23,GBP,1.267012
2025-06-24,GBP,1.27338
2025-06-25,GBP,1.2739
2025-06-26,GBP,1.271923
2025-06-27,GBP,1.274196
2025-06-30,GBP,1.277627
2025-07-01,GBP,1.276726
2025-07-02,GBP,1.285132
2025-07-03,GBP,1.284656
2025-07-04,GBP,1.292127
2025-07-07,GBP,1.294819
2025-07-08,GBP,1.296375
2025-07-09,GBP,1.293065
2025-07-10,GBP,1.286361
2025-07-11,GBP,1.284663
2025-07-14,GBP,1.289481
2025-07-15,GBP,1.291179
2025-07-16,GBP,1.290355
2025-07-17,GBP,1.287829
2025-07-18,GBP,1.289885
2025-07-21,GBP,1.293034
2025-07-22,GBP,1.288768
2025-07-23,GBP,1.289727
2025-07-24,GBP,1.29073
2025-07-25,GBP,1.290044
2025-07-28,GBP,1.287803
2025-07-29,GBP,1.280575
2025-07-30,GBP,1.281875
2025-07-31,GBP,1.280488
2025-08-01,GBP,1.28132
2025-08-04,GBP,1.281926
2025-08-05,GBP,1.273934
2025-08-06,GBP,1.278542
2025-08-07,GBP,1.266879
2025-08-08,GBP,1.265683
2025-08-11,GBP,1.264441
2025-08-12,GBP,1.271023
2025-08-13,GBP,1.270248
2025-08-14,GBP,1.268763
2025-08-15,GBP,1.259077
2025-08-18,GBP,1.256111
2025-08-19,GBP,1.249709
2025-08-20,GBP,1.251447
2025-08-21,GBP,1.2545
2025-08-22,GBP,1.249543
2025-08-25,GBP,1.253668
2025-08-26,GBP,1.249696
2025-08-27,GBP,1.2482
2025-08-28,GBP,1.243989
2025-08-29,GBP,1.242516
2025-09-01,GBP,1.242787
2025-09-02,GBP,1.241539
2025-09-03,GBP,1.243448
2025-09-04,GBP,1.24366
2025-09-05,GBP,1.239813
2025-09-08,GBP,1.241238
2025-09-09,GBP,1.231071
2025-09-10,GBP,1.238459
2025-09-11,GBP,1.238834
2025-09-12,GBP,1.239575
2025-09-15,GBP,1.239479
2025-09-16,GBP,1.242074
2025-09-17,GBP,1.237786
2025-09-18,GBP,1.242255
2025-09-19,GBP,1.239246
2025-09-22,GBP,1.236381
2025-09-23,GBP,1.238013
2025-09-24,GBP,1.231424
2025-09-25,GBP,1.231501
2025-09-26,GBP,1.234267
2025-09-29,GBP,1.23548
2025-09-30,GBP,1.230526
2025-10-01,GBP,1.233452
2025-10-02,GBP,1.224613
2025-10-03,GBP,1.223492
2025-10-06,GBP,1.225717
2025-10-07,GBP,1.22505
2025-10-08,GBP,1.228137
2025-10-09,GBP,1.233675
2025-10-10,GBP,1.23394
2025-10-13,GBP,1.230797
2025-10-14,GBP,1.228465
2025-10-15,GBP,1.230091
2025-10-16,GBP,1.229894
2025-10-17,GBP,1.226388
2025-10-20,GBP,1.222902
2025-10-21,GBP,1.224081
2025-10-22,GBP,1.223684
2025-10-23,GBP,1.219926
2025-10-24,GBP,1.223742
2025-10-27,GBP,1.219824
2025-10-28,GBP,1.213282
2025-10-29,GBP,1.214015
2025-10-30,GBP,1.2156
2025-10-31,GBP,1.214225
2025-11-03,GBP,1.213692
2025-11-04,GBP,1.213336
2025-11-05,GBP,1.209396
2025-11-06,GBP,1.207093
2025-11-07,GBP,1.20685
2025-11-10,GBP,1.21165
2025-11-11,GBP,1.214268
2025-11-12,GBP,1.212797
2025-11-13,GBP,1.212471
2025-11-14,GBP,1.222419
2025-11-17,GBP,1.225173
2025-11-18,GBP,1.228914
2025-11-19,GBP,1.224897
2025-11-20,GBP,1.23278
2025-11-21,GBP,1.234004
2025-11-24,GBP,1.233659
2025-11-25,GBP,1.234136
2025-11-26,GBP,1.231326
2025-11-27,GBP,1.232644
2025-11-28,GBP,1.236095
2025-12-01,GBP,1.234187
2025-12-02,GBP,1.227744
2025-12-03,GBP,1.234587
2025-12-04,GBP,1.240407
2025-12-05,GBP,1.240662
2025-12-08,GBP,1.245847
2025-12-09,GBP,1.247405
2025-12-10,GBP,1.24944
2025-12-11,GBP,1.245932
2025-12-12,GBP,1.246387
2025-12-15,GBP,1.246923
2025-12-16,GBP,1.247322
2025-12-17,GBP,1.244663
2025-12-18,GBP,1.241979
2025-12-19,GBP,1.239307
2025-01-01,AED,0.272274
2025-01-02,AED,0.272283
2025-01-03,AED,0.272263
2025-01-06,AED,0.272249
2025-01-07,AED,0.272245
2025-01-08,AED,0.2722
2025-01-09,AED,0.272207
2025-01-10,AED,0.272175
2025-01-13,AED,0.272169
2025-01-14,AED,0.272143
2025-01-15,AED,0.272132
2025-01-16,AED,0.27211
2025-01-17,AED,0.272152
2025-01-20,AED,0.272163
2025-01-21,AED,0.272147
2025-01-22,AED,0.272159
2025-01-23,AED,0.272146
2025-01-24,AED,0.272146
2025-01-27,AED,0.272148
2025-01-28,AED,0.272118
2025-01-29,AED,0.272145
2025-01-30,AED,0.272128
2025-01-31,AED,0.272089
2025-02-03,AED,0.272046
2025-02-04,AED,0.272046
2025-02-05,AED,0.272011
2025-02-06,AED,0.272006
2025-02-07,AED,0.272009
2025-02-10,AED,0.271958
2025-02-11,AED,0.271981
2025-02-12,AED,0.27197
2025-02-13,AED,0.272002
2025-02-14,AED,0.27202
2025-02-17,AED,0.272047
2025-02-18,AED,0.272052
2025-02-19,AED,0.272048
2025-02-20,AED,0.272053
2025-02-21,AED,0.272058
2025-02-24,AED,0.272064
2025-02-25,AED,0.272073
2025-02-26,AED,0.272093
2025-02-27,AED,0.272139
2025-02-28,AED,0.272163
2025-03-03,AED,0.272179
2025-03-04,AED,0.272201
2025-03-05,AED,0.272179
2025-03-06,AED,0.272168
2025-03-07,AED,0.272157
2025-03-10,AED,0.27214
2025-03-11,AED,0.272117
2025-03-12,AED,0.27208
2025-03-13,AED,0.272037
2025-03-14,AED,0.272032
2025-03-17,AED,0.272047
2025-03-18,AED,0.27204
2025-03-19,AED,0.272055
2025-03-20,AED,0.27205
2025-03-21,AED,0.272049
2025-03-24,AED,0.272072
2025-03-25,AED,0.272064
2025-03-26,AED,0.272026
2025-03-27,AED,0.27201
2025-03-28,AED,0.27201
2025-03-31,AED,0.272014
2025-04-01,AED,0.272012
2025-04-02,AED,0.272043
2025-04-03,AED,0.272041
2025-04-04,AED,0.272064
2025-04-07,AED,0.272079
2025-04-08,AED,0.27203
2025-04-09,AED,0.272043
2025-04-10,AED,0.272076
2025-04-11,AED,0.272105
2025-04-14,AED,0.272118
2025-04-15,AED,0.272116
2025-04-16,AED,0.272129
2025-04-17,AED,0.272116
2025-04-18,AED,0.272118
2025-04-21,AED,0.272106
2025-04-22,AED,0.272091
2025-04-23,AED,0.272077
2025-04-24,AED,0.272063
2025-04-25,AED,0.272026
2025-04-28,AED,0.271999
2025-04-29,AED,0.271992
2025-04-30,AED,0.272
2025-05-01,AED,0.271993
2025-05-02,AED,0.271993
2025-05-05,AED,0.271951
2025-05-06,AED,0.271941
2025-05-07,AED,0.271945
2025-05-08,AED,0.271959
2025-05-09,AED,0.271975
2025-05-12,AED,0.271997
2025-05-13,AED,0.272029
2025-05-14,AED,0.272036
2025-05-15,AED,0.272019
2025-05-16,AED,0.271997
2025-05-19,AED,0.272015
2025-05-20,AED,0.27202
2025-05-21,AED,0.271995
2025-05-22,AED,0.272007
2025-05-23,AED,0.271973
2025-05-26,AED,0.271986
2025-05-27,AED,0.271986
2025-05-28,AED,0.272025
2025-05-29,AED,0.272047
2025-05-30,AED,0.272035
2025-06-02,AED,0.272039
2025-06-03,AED,0.272072
2025-06-04,AED,0.272056
2025-06-05,AED,0.272073
2025-06-06,AED,0.272071
2025-06-09,AED,0.272026
2025-06-10,AED,0.272042
2025-06-11,AED,0.272007
2025-06-12,AED,0.272027
2025-06-13,AED,0.272022
2025-06-16,AED,0.272045
2025-06-17,AED,0.272029
2025-06-18,AED,0.272015
2025-06-19,AED,0.27201
2025-06-20,AED,0.271985
2025-06-23,AED,0.271952
2025-06-24,AED,0.271981
2025-06-25,AED,0.271993
2025-06-26,AED,0.271976
2025-06-27,AED,0.271976
2025-06-30,AED,0.271948
2025-07-01,AED,0.271936
2025-07-02,AED,0.271929
2025-07-03,AED,0.271969
2025-07-04,AED,0.271931
2025-07-07,AED,0.271943
2025-07-08,AED,0.27194
2025-07-09,AED,0.271965
2025-07-10,AED,0.271966
2025-07-11,AED,0.271976
2025-07-14,AED,0.271966
2025-07-15,AED,0.271977
2025-07-16,AED,0.271975
2025-07-17,AED,0.271961
2025-07-18,AED,0.271972
2025-07-21,AED,0.271967
2025-07-22,AED,0.271975
2025-07-23,AED,0.271966
2025-07-24,AED,0.271942
2025-07-25,AED,0.271948
2025-07-28,AED,0.271948
2025-07-29,AED,0.271956
2025-07-30,AED,0.271956
2025-07-31,AED,0.271971
2025-08-01,AED,0.271948
2025-08-04,AED,0.271935
2025-08-05,AED,0.271916
2025-08-06,AED,0.271931
