transaction_id,client_id,created_at,completed_at,payout_country,currency,amount,status,client_fee,direct_cost,failure_reason
TX00000057,CL0016,2025-01-01 10:11:56,2025-01-01 18:28:37,Netherlands,EUR,342.6,completed,19.99,5.39,
TX00000058,CL0358,2025-01-01 10:18:15,2025-01-02 02:47:24,UAE,AED,348.61,completed,22.14,13.92,
TX00000059,CL0425,2025-01-01 10:20:52,2025-01-02 08:47:02,UAE,AED,656.23,completed,33.53,18.86,
TX00000060,CL0050,2025-01-01 10:34:02,2025-01-01 22:58:56,United States,USD,2445.66,completed,57.31,13.2,
TX00000061,CL0016,2025-01-01 10:34:10,2025-01-01 12:32:50,United Kingdom,GBP,841.14,completed,49.7,7.04,
TX00000062,CL0113,2025-01-01 10:35:33,2025-01-02 02:14:39,United States,USD,424.66,completed,26.77,5.71,
TX00000063,CL0425,2025-01-01 10:37:26,2025-01-01 18:24:28,UAE,AED,2160.7,completed,101.6,32.31,
TX00000064,CL0157,2025-01-01 10:43:42,2025-01-01 11:01:37,Spain,EUR,139.2,completed,8.68,3.73,
TX00000065,CL0090,2025-01-01 10:45:41,2025-01-02 02:05:37,Singapore,SGD,106.36,completed,6.42,6.1,
TX00000066,CL0104,2025-01-01 10:51:33,2025-01-02 01:55:55,UAE,AED,880.75,completed,53.95,18.64,
TX00000067,CL0358,2025-01-01 10:53:16,2025-01-01 12:57:23,United States,USD,309.65,completed,18.33,4.74,
TX00000068,CL0173,2025-01-01 10:55:47,2025-01-03 02:10:03,United States,USD,841.99,completed,28.7,7.77,
TX00000069,CL0104,2025-01-01 10:55:49,2025-01-02 02:25:09,UAE,AED,1425.67,completed,87.37,25.52,
TX00000070,CL0358,2025-01-01 10:57:19,2025-01-02 04:09:12,UAE,AED,221.9,completed,13.9,16.99,
TX00000071,CL0227,2025-01-01 11:03:02,2025-01-01 15:28:01,Netherlands,EUR,52.75,completed,3.37,3.58,
TX00000072,CL0090,2025-01-01 11:06:22,2025-01-02 07:54:20,Singapore,SGD,155.95,completed,9.2,5.96,
TX00000073,CL0312,2025-01-01 11:06:55,2025-01-01 16:55:19,United States,USD,132.27,completed,8.31,3.48,
TX00000074,CL0358,2025-01-01 11:07:08,2025-01-01 22:34:37,UAE,AED,487.64,completed,29.23,17.67,
TX00000075,CL0288,2025-01-01 11:09:54,2025-01-01 16:13:40,Netherlands,EUR,106.86,completed,6.68,3.25,
TX00000076,CL0351,2025-01-01 11:11:15,2025-01-01 13:35:16,United States,USD,517.51,completed,15.44,6.36,
TX00000077,CL0248,2025-01-01 11:11:18,2025-01-02 03:10:20,UAE,AED,1043.78,completed,57.79,22.24,
TX00000078,CL0358,2025-01-01 11:11:20,2025-01-02 01:09:42,UAE,AED,350.91,completed,21.56,15.04,
TX00000079,CL0358,2025-01-01 11:13:57,2025-01-01 15:29:45,United States,USD,205.55,completed,12.47,4.29,
TX00000080,CL0227,2025-01-01 11:18:00,2025-01-02 04:55:47,Cyprus,EUR,190.97,completed,11.79,4.22,
TX00000081,CL0090,2025-01-01 11:18:44,2025-01-02 13:22:16,Singapore,SGD,202.51,completed,12.42,7.53,
TX00000082,CL0288,2025-01-01 11:22:23,,Estonia,EUR,136.71,failed,0.0,0.0,Invalid beneficiary details
TX00000083,CL0157,2025-01-01 11:22:23,2025-01-03 07:25:49,Poland,PLN,966.55,completed,59.31,24.08,
TX00000084,CL0109,2025-01-01 11:24:02,2025-01-02 18:30:57,UAE,AED,2483.87,completed,149.94,37.68,
TX00000085,CL0247,2025-01-01 11:24:23,2025-01-01 19:11:59,United States,USD,408.95,completed,24.51,5.74,
TX00000086,CL0332,2025-01-01 11:25:46,2025-01-02 03:24:37,UAE,AED,7447.01,completed,186.1,86.56,
TX00000087,CL0505,2025-01-01 11:26:01,2025-01-01 13:53:32,United States,USD,593.35,completed,32.95,6.68,
TX00000088,CL0104,2025-01-01 11:27:22,2025-01-02 16:23:41,UAE,AED,1667.93,completed,97.26,28.4,
TX00000089,CL0288,2025-01-01 11:31:08,2025-01-02 14:03:23,UAE,AED,560.33,completed,36.96,18.23,
TX00000090,CL0179,2025-01-01 11:37:21,2025-01-01 21:30:19,United States,USD,341.22,completed,18.5,5.77,
TX00000091,CL0090,2025-01-01 11:38:24,2025-01-01 18:26:00,Singapore,SGD,150.9,completed,9.53,5.3,
TX00000092,CL0127,2025-01-01 11:45:14,2025-01-01 14:39:45,United States,USD,211.6,completed,14.02,4.23,
TX00000093,CL0248,2025-01-01 11:51:23,2025-01-03 05:40:11,UAE,AED,1031.54,completed,57.41,20.5,
TX00000094,CL0311,2025-01-01 11:54:15,2025-01-01 16:58:49,United States,USD,831.44,completed,34.93,7.09,
TX00000095,CL0489,2025-01-01 11:55:28,2025-01-01 14:20:36,Cyprus,EUR,223.25,completed,12.32,4.81,
TX00000096,CL0311,2025-01-01 11:56:25,2025-01-01 17:36:38,United States,USD,1331.76,completed,55.07,9.75,
TX00000097,CL0385,2025-01-01 11:56:46,2025-01-02 04:26:09,Cyprus,EUR,569.83,completed,20.36,5.84,
TX00000098,CL0179,2025-01-01 12:08:17,2025-01-01 16:25:01,United States,USD,124.66,completed,7.12,3.54,
TX00000099,CL0157,2025-01-01 12:16:57,2025-01-04 00:16:57,United States,USD,125.31,completed,7.69,4.51,
TX00000100,CL0027,2025-01-01 12:17:26,2025-01-01 19:56:46,Cyprus,EUR,208.88,completed,12.2,4.65,
TX00000101,CL0157,2025-01-01 12:37:20,2025-01-01 21:28:22,United States,USD,187.88,completed,12.23,3.6,
TX00000102,CL0127,2025-01-01 12:39:35,2025-01-01 17:39:27,United States,USD,328.29,completed,21.56,5.31,
TX00000103,CL0016,2025-01-01 12:45:58,2025-01-01 18:19:38,United Kingdom,GBP,154.92,completed,9.04,3.48,
TX00000104,CL0385,2025-01-01 12:52:24,2025-01-01 20:07:18,Cyprus,EUR,616.32,completed,22.27,7.73,
TX00000105,CL0090,2025-01-01 12:54:01,2025-01-02 03:37:13,Singapore,SGD,280.1,completed,16.64,6.69,
TX00000106,CL0358,2025-01-01 13:00:07,2025-01-02 00:40:03,UAE,AED,675.95,completed,42.98,18.8,
TX00000107,CL0104,2025-01-01 13:01:21,2025-01-02 14:06:59,UAE,AED,1774.7,completed,107.96,33.29,
TX00000108,CL0090,2025-01-01 13:12:06,2025-01-04 03:11:22,Singapore,SGD,157.98,completed,9.58,6.23,
TX00000109,CL0173,2025-01-01 13:18:36,2025-01-01 19:48:52,United States,USD,811.43,completed,28.5,6.7,
TX00000110,CL0109,2025-01-01 13:19:22,2025-01-02 05:24:00,UAE,AED,1883.14,completed,114.57,32.29,
TX00000111,CL0312,2025-01-01 13:20:34,2025-01-02 10:41:34,United States,USD,107.18,completed,6.4,4.01,
TX00000112,CL0248,2025-01-01 13:23:40,2025-01-01 23:55:58,UAE,AED,1076.78,completed,59.65,19.37,
TX00000113,CL0345,2025-01-01 13:25:48,2025-01-01 16:52:12,Spain,EUR,179.78,completed,11.03,3.65,
TX00000114,CL0248,2025-01-01 13:28:20,2025-01-03 09:16:00,UAE,AED,1820.93,completed,105.52,26.48,
TX00000115,CL0425,2025-01-01 13:35:39,2025-01-02 01:19:00,UAE,AED,789.46,completed,36.98,18.06,
TX00000116,CL0300,2025-01-01 13:39:24,2025-01-02 05:44:49,Singapore,SGD,2070.3,completed,66.32,23.94,
TX00000117,CL0090,2025-01-01 13:42:23,2025-01-02 09:14:19,Singapore,SGD,468.27,completed,27.54,9.24,
TX00000118,CL0227,2025-01-01 13:53:39,2025-01-01 23:48:13,Estonia,EUR,85.18,completed,5.29,3.32,
TX00000119,CL0050,2025-01-01 14:03:21,2025-01-01 17:21:32,United States,USD,1703.22,completed,40.96,10.55,
TX00000120,CL0090,2025-01-01 14:03:32,2025-01-02 13:57:39,Singapore,SGD,218.72,completed,12.99,6.5,
TX00000121,CL0425,2025-01-01 14:08:56,2025-01-01 22:46:15,UAE,AED,888.28,completed,43.95,22.29,
TX00000122,CL0087,2025-01-01 14:09:33,2025-01-01 23:12:55,United States,USD,419.84,completed,25.56,5.82,
TX00000123,CL0027,2025-01-01 14:18:32,2025-01-01 23:54:56,France,EUR,273.53,completed,16.1,4.33,
TX00000124,CL0090,2025-01-01 14:23:27,2025-01-02 03:00:42,Singapore,SGD,155.34,completed,9.41,6.94,
TX00000125,CL0090,2025-01-01 14:23:55,2025-01-01 22:53:21,Singapore,SGD,234.0,completed,13.5,6.21,
TX00000126,CL0090,2025-01-01 14:36:19,2025-01-02 03:08:14,Singapore,SGD,376.7,completed,21.84,7.37,
TX00000127,CL0109,2025-01-01 14:41:05,2025-01-01 23:52:00,UAE,AED,371.5,completed,21.23,15.28,
TX00000128,CL0109,2025-01-01 14:42:49,2025-01-02 06:24:10,UAE,AED,486.97,completed,30.1,16.38,
TX00000129,CL0173,2025-01-01 14:45:16,,United States,USD,1013.72,failed,0.0,0.0,Invalid beneficiary details
TX00000130,CL0444,2025-01-01 14:45:57,2025-01-02 04:10:22,Singapore,SGD,153.29,completed,9.63,6.71,
TX00000131,CL0084,2025-01-01 14:55:48,2025-01-01 21:11:19,United States,USD,200.23,completed,12.31,4.36,
TX00000132,CL0358,2025-01-01 14:59:36,2025-01-01 19:15:01,United States,USD,111.62,completed,6.47,4.0,
TX00000133,CL0345,2025-01-01 14:59:40,2025-01-01 21:57:56,United States,USD,289.28,completed,17.02,4.3,
TX00000134,CL0090,2025-01-01 15:01:42,,Singapore,SGD,137.49,failed,0.0,0.0,Technical error
TX00000135,CL0090,2025-01-01 15:05:51,2025-01-02 02:56:44,Singapore,SGD,102.26,completed,5.96,5.3,
TX00000136,CL0505,2025-01-01 15:06:47,2025-01-01 21:33:32,United States,USD,502.5,completed,27.77,6.35,
TX00000137,CL0425,2025-01-01 15:15:35,2025-01-02 03:20:27,UAE,AED,952.09,completed,48.53,21.98,
TX00000138,CL0090,2025-01-01 15:18:05,2025-01-02 07:41:10,Singapore,SGD,224.37,completed,13.36,6.1,
TX00000139,CL0127,2025-01-01 15:18:55,,United States,USD,361.67,failed,0.0,1.98,Compliance review
TX00000140,CL0345,2025-01-01 15:25:58,2025-01-01 17:40:04,Cyprus,EUR,129.65,completed,7.67,3.91,
TX00000141,CL0332,2025-01-01 15:26:33,2025-01-02 08:22:55,United Kingdom,GBP,2846.87,completed,69.46,19.09,
TX00000142,CL0425,2025-01-01 15:32:29,2025-01-01 23:24:28,UAE,AED,1481.27,completed,70.64,24.97,
TX00000143,CL0090,2025-01-01 15:35:30,2025-01-02 07:37:30,Singapore,SGD,155.89,completed,9.15,5.91,
TX00000144,CL0227,2025-01-01 15:39:23,2025-01-01 16:40:33,Estonia,EUR,163.74,completed,10.32,4.57,
TX00000145,CL0288,2025-01-01 15:40:05,2025-01-02 01:15:32,Netherlands,EUR,192.44,completed,12.23,4.42,
TX00000146,CL0027,2025-01-01 15:41:56,,Germany,EUR,165.46,failed,0.0,0.0,Unsupported route
TX00046140,CL0288,2025-01-01 15:44:05,2025-01-02 01:19:32,Netherlands,EUR,192.44,completed,12.23,4.42,
TX00000147,CL0109,2025-01-01 15:46:32,2025-01-02 11:50:55,UAE,AED,437.98,completed,25.29,16.2,
TX00000148,CL0027,2025-01-01 15:46:34,2025-01-01 18:07:27,United Kingdom,GBP,165.09,completed,9.79,3.19,
TX00000149,CL0227,2025-01-01 15:55:27,2025-01-01 19:58:49,Germany,EUR,173.79,completed,11.28,4.58,
TX00000150,CL0157,2025-01-01 15:59:40,2025-01-02 00:50:16,Poland,PLN,739.04,completed,48.71,21.65,
TX00000151,CL0227,2025-01-01 16:02:23,2025-01-01 21:24:14,Germany,EUR,156.08,completed,9.77,4.46,
TX00000152,CL0109,2025-01-01 16:04:56,2025-01-02 07:25:34,UAE,AED,533.57,completed,31.1,16.23,
TX00000153,CL0248,2025-01-01 16:08:38,2025-01-01 16:42:57,United States,USD,698.37,completed,38.71,6.8,
TX00000154,CL0090,2025-01-01 16:12:04,2025-01-02 06:02:55,Singapore,SGD,121.42,completed,7.18,5.02,
TX00000155,CL0358,2025-01-01 16:15:11,2025-01-02 00:32:20,UAE,AED,489.92,completed,29.69,18.54,
TX00000156,CL0027,2025-01-01 16:16:15,2025-01-01 16:31:13,United Kingdom,GBP,216.67,completed,13.61,4.3,
TX00000157,CL0090,2025-01-01 16:16:23,2025-01-02 05:14:18,Singapore,SGD,290.74,completed,17.39,6.71,
TX00000158,CL0090,2025-01-01 16:17:32,2025-01-02 00:51:16,Singapore,SGD,209.09,completed,12.21,6.72,
TX00000159,CL0090,2025-01-01 16:28:04,2025-01-02 16:05:07,Singapore,SGD,311.5,completed,19.05,6.71,
TX00000160,CL0173,2025-01-01 16:35:39,2025-01-01 19:08:05,France,EUR,6441.55,completed,217.33,43.44,
TX00000161,CL0050,2025-01-01 16:39:41,2025-01-01 17:06:37,United States,USD,4259.84,completed,94.31,22.19,
TX00000162,CL0385,2025-01-01 16:45:00,2025-01-02 08:10:04,France,EUR,728.84,completed,25.04,7.14,
TX00000163,CL0120,2025-01-01 16:46:09,2025-01-01 20:41:41,Cyprus,EUR,308.6,completed,23.5,4.79,
TX00000164,CL0121,2025-01-01 16:46:57,2025-01-01 23:18:04,Poland,PLN,1236.62,completed,71.15,24.28,
TX00000165,CL0090,2025-01-01 16:49:24,2025-01-02 12:46:23,Singapore,SGD,241.98,completed,14.96,7.55,
TX00000166,CL0090,2025-01-01 16:49:30,2025-01-02 15:55:17,Singapore,SGD,267.08,completed,16.89,7.59,
TX00000167,CL0179,2025-01-01 16:49:47,2025-01-01 21:19:26,United States,USD,265.9,completed,15.42,4.1,
TX00000168,CL0179,2025-01-01 16:50:10,2025-01-01 22:00:46,United States,USD,94.66,completed,5.54,3.52,
TX00000169,CL0157,2025-01-01 16:52:16,2025-01-02 06:52:32,Poland,PLN,611.68,completed,38.3,20.01,
TX00000170,CL0248,2025-01-01 16:58:20,2025-01-02 17:20:52,United States,USD,136.91,completed,7.32,4.42,
TX00000171,CL0358,2025-01-01 17:02:16,2025-01-02 01:02:35,UAE,AED,760.72,completed,44.28,18.39,
TX00000172,CL0224,2025-01-01 17:02:25,2025-01-02 01:54:40,United States,USD,130.01,completed,8.21,3.69,
TX00000173,CL0090,2025-01-01 17:03:15,2025-01-02 20:16:15,Singapore,SGD,322.02,completed,19.68,7.82,
TX00000174,CL0090,2025-01-01 17:05:44,2025-01-03 13:44:14,Singapore,SGD,153.63,completed,9.11,5.32,
TX00000175,CL0489,2025-01-01 17:09:52,2025-01-02 18:34:28,Poland,PLN,4255.02,completed,232.76,49.76,
TX00000176,CL0478,2025-01-01 17:10:17,2025-01-02 12:55:49,United States,USD,1216.9,completed,44.27,8.76,
TX00000177,CL0425,2025-01-01 17:11:32,2025-01-02 13:39:04,UAE,AED,2679.69,completed,129.71,37.73,
TX00000178,CL0127,2025-01-01 17:12:17,2025-01-01 22:32:40,United States,USD,316.82,completed,20.58,4.97,
TX00000179,CL0288,2025-01-01 17:18:04,2025-01-02 10:18:57,UAE,AED,323.36,completed,21.17,17.32,
TX00000180,CL0090,2025-01-01 17:21:39,2025-01-02 21:28:57,Singapore,SGD,381.58,completed,23.57,7.79,
TX00000181,CL0090,2025-01-01 17:27:37,2025-01-02 09:07:33,Singapore,SGD,166.17,completed,9.68,5.29,
TX00000182,CL0090,2025-01-01 17:32:13,2025-01-01 23:47:15,Singapore,SGD,156.88,completed,9.52,5.55,
TX00000183,CL0050,2025-01-01 17:32:18,2025-01-04 05:32:18,United States,USD,17047.89,completed,409.12,82.46,
TX00000184,CL0425,2025-01-01 17:32:33,2025-01-02 02:58:35,UAE,AED,741.5,completed,37.42,21.05,
TX00000185,CL0173,2025-01-01 17:33:04,2025-01-01 20:18:15,Spain,EUR,1937.24,completed,70.94,14.31,
TX00000186,CL0109,2025-01-01 17:36:05,2025-01-02 02:41:10,UAE,AED,224.14,completed,13.12,15.48,
TX00000187,CL0090,2025-01-01 17:37:14,2025-01-02 12:33:40,Singapore,SGD,153.93,completed,9.31,6.44,
TX00000188,CL0104,2025-01-01 17:40:16,2025-01-02 00:12:41,UAE,AED,2321.11,completed,141.65,36.95,
TX00000189,CL0179,2025-01-01 17:40:23,2025-01-01 20:35:16,United States,USD,217.6,completed,11.7,4.05,
TX00000190,CL0358,2025-01-01 17:42:29,2025-01-01 20:12:25,United States,USD,388.52,completed,23.6,4.73,
TX00000191,CL0027,2025-01-01 17:43:26,2025-01-01 23:21:55,United Kingdom,GBP,125.85,completed,7.86,3.16,
TX00000192,CL0120,2025-01-01 17:48:26,2025-01-02 10:03:03,UAE,AED,915.46,completed,68.01,22.41,
TX00000193,CL0300,2025-01-01 17:49:02,2025-01-02 03:06:46,Singapore,SGD,1215.0,completed,38.69,14.9,
TX00000194,CL0416,2025-01-01 17:53:12,2025-01-01 19:54:12,United States,USD,499.17,completed,9.73,5.89,
TX00000195,CL0157,2025-01-01 17:53:26,2025-01-02 02:15:47,Germany,EUR,115.52,completed,7.06,3.91,
TX00000196,CL0425,2025-01-01 17:54:35,2025-01-02 04:12:28,UAE,AED,276.0,completed,13.23,17.39,
TX00000197,CL0179,2025-01-01 17:58:23,2025-01-01 21:15:23,Canada,CAD,253.93,completed,14.05,6.3,
TX00000198,CL0358,2025-01-01 18:00:03,2025-01-02 08:38:27,UAE,AED,224.92,completed,13.81,16.75,
TX00000199,CL0227,2025-01-01 18:01:55,2025-01-02 02:52:12,Germany,EUR,93.47,refunded,0.0,4.46,
TX00000200,CL0291,2025-01-01 18:02:07,2025-01-02 04:34:11,United States,USD,134.16,completed,7.15,4.4,
TX00000201,CL0016,2025-01-01 18:04:13,2025-01-01 19:36:30,Cyprus,EUR,547.47,completed,31.69,6.57,
TX00000202,CL0090,2025-01-01 18:05:23,2025-01-02 05:05:51,Singapore,SGD,164.33,completed,10.17,6.57,
TX00000203,CL0179,2025-01-01 18:06:45,2025-01-02 02:51:55,United States,USD,100.97,completed,5.8,3.49,
TX00000204,CL0358,2025-01-01 18:07:01,2025-01-01 21:13:53,United States,USD,66.83,completed,3.96,4.41,
TX00000205,CL0425,2025-01-01 18:12:08,2025-01-02 03:45:02,UAE,AED,532.26,completed,26.23,18.47,
TX00000206,CL0385,2025-01-01 18:13:42,2025-01-02 00:10:26,Spain,EUR,1138.67,completed,38.03,9.66,
TX00000207,CL0109,2025-01-01 18:20:39,2025-01-02 03:05:26,UAE,AED,767.05,completed,47.16,16.97,
TX00000208,CL0425,2025-01-01 18:20:51,2025-01-02 06:07:21,UAE,AED,573.21,completed,27.77,17.08,
TX00000209,CL0179,2025-01-01 18:22:24,2025-01-02 01:15:03,Canada,CAD,140.32,completed,7.57,5.5,
TX00000210,CL0345,2025-01-01 18:25:30,2025-01-01 22:48:25,United States,USD,558.17,completed,32.59,5.92,
TX00000211,CL0288,2025-01-01 18:28:48,2025-01-01 20:59:48,Netherlands,EUR,89.01,completed,5.34,3.32,
TX00000212,CL0050,2025-01-01 18:28:51,2025-01-02 07:15:15,United States,USD,859.3,completed,19.48,7.23,
TX00000213,CL0444,2025-01-01 18:29:39,2025-01-02 17:12:49,Singapore,SGD,254.51,completed,15.41,7.51,
TX00000214,CL0192,2025-01-01 18:30:39,2025-01-02 10:35:53,United States,USD,470.63,completed,25.9,5.67,
TX00000215,CL0227,2025-01-01 18:31:36,2025-01-01 20:27:57,France,EUR,203.64,completed,13.29,3.67,
TX00000216,CL0109,2025-01-01 18:32:26,2025-01-02 02:26:30,UAE,AED,579.12,completed,33.97,19.75,
TX00000217,CL0104,2025-01-01 18:44:07,2025-01-02 07:05:17,UAE,AED,2168.12,completed,132.32,34.68,
TX00000218,CL0090,2025-01-01 18:45:47,2025-01-02 10:13:51,Singapore,SGD,99.74,completed,5.96,4.76,
TX00000219,CL0090,2025-01-01 18:52:00,2025-01-02 10:14:14,Singapore,SGD,433.19,completed,26.1,8.39,
TX00000220,CL0288,2025-01-01 18:53:28,2025-01-01 21:53:45,Spain,EUR,107.78,completed,6.63,3.24,
TX00000221,CL0127,2025-01-01 18:54:29,2025-01-01 20:59:59,United States,USD,45.65,completed,2.83,3.85,
TX00000222,CL0109,2025-01-01 18:54:36,2025-01-02 07:14:35,UAE,AED,381.2,completed,23.16,15.82,
TX00000223,CL0300,2025-01-01 19:27:46,2025-01-02 04:13:51,Canada,CAD,3379.52,completed,108.0,26.48,
TX00000224,CL0179,2025-01-01 19:36:49,2025-01-02 17:56:35,United States,USD,62.78,completed,3.48,4.15,
TX00000225,CL0312,2025-01-01 19:54:44,2025-01-01 22:57:00,Estonia,EUR,182.67,completed,11.55,4.25,
TX00000226,CL0179,2025-01-01 20:26:57,2025-01-01 22:23:51,Canada,CAD,220.07,completed,12.46,7.16,
TX00000227,CL0090,2025-01-01 20:52:34,2025-01-02 13:50:54,Singapore,SGD,320.05,completed,19.9,7.26,
TX00000228,CL0478,2025-01-01 21:09:08,2025-01-02 05:57:36,United States,USD,445.1,completed,17.55,5.56,
